IndicatorCode,Location,Period,Dim1ValueCode,Value
WHOSIS_000001,Dominican Republic,2015,BTSX,71.75
WHOSIS_000001,Democratic People's Republic of Korea,2015,BTSX,71.76
WHOSIS_000001,Saint Lucia,2015,MLE,71.82
WHOSIS_000001,Nicaragua,2015,MLE,71.83
WHOSIS_000001,Cambodia,2015,FMLE,71.89
WHOSIS_000001,Kazakhstan,2015,BTSX,71.91
WHOSIS_000001,Honduras,2015,FMLE,72.13
WHOSIS_000001,Mongolia,2015,FMLE,72.13
WHOSIS_000001,Bhutan,2015,BTSX,72.15
WHOSIS_000001,Hungary,2015,MLE,72.16
WHOSIS_000001,Cabo Verde,2015,MLE,72.18
WHOSIS_000001,Ukraine,2015,BTSX,72.2
WHOSIS_000001,Tonga,2015,BTSX,72.33
WHOSIS_000001,Libya,2015,MLE,72.39
WHOSIS_000001,Bolivia (Plurinational State of),2015,FMLE,72.45
WHOSIS_000001,Morocco,2015,BTSX,72.46
WHOSIS_000001,Saint Vincent and the Grenadines,2015,BTSX,72.47
WHOSIS_000001,Bangladesh,2015,MLE,72.5
WHOSIS_000001,Indonesia,2015,FMLE,72.5
WHOSIS_000001,Oman,2015,BTSX,72.52
WHOSIS_000001,Turkmenistan,2015,FMLE,72.57
WHOSIS_000001,Georgia,2015,BTSX,72.58
WHOSIS_000001,Suriname,2015,BTSX,72.6
WHOSIS_000001,Serbia,2015,MLE,72.69
WHOSIS_000001,Grenada,2015,BTSX,72.7
WHOSIS_000001,Montenegro,2015,MLE,72.83
WHOSIS_000001,Paraguay,2015,MLE,72.83
WHOSIS_000001,Egypt,2015,FMLE,72.89
WHOSIS_000001,Argentina,2015,MLE,72.92
WHOSIS_000001,Bahamas,2015,BTSX,72.92
WHOSIS_000001,Malaysia,2015,MLE,73.01
WHOSIS_000001,Estonia,2015,MLE,73.03
WHOSIS_000001,Sri Lanka,2015,MLE,73.05
WHOSIS_000001,Mexico,2015,MLE,73.09
WHOSIS_000001,Saudi Arabia,2015,BTSX,73.15
WHOSIS_000001,Viet Nam,2015,BTSX,73.16
WHOSIS_000001,Seychelles,2015,BTSX,73.2
WHOSIS_000001,El Salvador,2015,BTSX,73.25
WHOSIS_000001,Uruguay,2015,MLE,73.31
WHOSIS_000001,Poland,2015,MLE,73.36
WHOSIS_000001,Brunei Darussalam,2015,MLE,73.38
WHOSIS_000001,Iraq,2015,FMLE,73.41
WHOSIS_000001,Azerbaijan,2015,FMLE,73.43
WHOSIS_000001,Bhutan,2015,FMLE,73.45
WHOSIS_000001,Lebanon,2015,MLE,73.47
WHOSIS_000001,Slovakia,2015,MLE,73.48
WHOSIS_000001,Morocco,2015,FMLE,73.55
WHOSIS_000001,Bangladesh,2015,BTSX,73.58
WHOSIS_000001,Philippines,2015,FMLE,73.66
WHOSIS_000001,The former Yugoslav Republic of Macedonia,2015,BTSX,73.73
WHOSIS_000001,Belarus,2015,BTSX,73.82
WHOSIS_000001,China,2015,MLE,73.85
WHOSIS_000001,Uzbekistan,2015,FMLE,73.92
WHOSIS_000001,Bosnia and Herzegovina,2015,MLE,73.94
WHOSIS_000001,Guatemala,2015,FMLE,74.01
WHOSIS_000001,Belize,2015,BTSX,74.05
WHOSIS_000001,Oman,2015,FMLE,74.09
WHOSIS_000001,Jamaica,2015,MLE,74.1
WHOSIS_000001,Thailand,2015,MLE,74.13
WHOSIS_000001,Mauritius,2015,BTSX,74.14
WHOSIS_000001,United Arab Emirates,2015,MLE,74.25
WHOSIS_000001,Croatia,2015,MLE,74.3
WHOSIS_000001,Lithuania,2015,BTSX,74.38
WHOSIS_000001,Brunei Darussalam,2015,BTSX,74.4
WHOSIS_000001,Antigua and Barbuda,2015,MLE,74.43
WHOSIS_000001,Armenia,2015,BTSX,74.51
WHOSIS_000001,Bulgaria,2015,BTSX,74.55
WHOSIS_000001,Tunisia,2015,MLE,74.58
WHOSIS_000001,Libya,2015,BTSX,74.6
WHOSIS_000001,Trinidad and Tobago,2015,BTSX,74.61
WHOSIS_000001,Nicaragua,2015,BTSX,74.62
WHOSIS_000001,Venezuela (Bolivarian Republic of),2015,BTSX,74.66
WHOSIS_000001,Democratic People's Republic of Korea,2015,FMLE,74.78
WHOSIS_000001,Bangladesh,2015,FMLE,74.79
WHOSIS_000001,Latvia,2015,BTSX,74.8
WHOSIS_000001,Romania,2015,BTSX,74.82
WHOSIS_000001,Cabo Verde,2015,BTSX,74.88
WHOSIS_000001,Saint Vincent and the Grenadines,2015,FMLE,74.91
WHOSIS_000001,Ecuador,2015,MLE,74.92
WHOSIS_000001,Malaysia,2015,BTSX,74.95
WHOSIS_000001,Iran (Islamic Republic of),2015,MLE,74.96
WHOSIS_000001,Barbados,2015,MLE,75.01
WHOSIS_000001,Saint Lucia,2015,BTSX,75.01
WHOSIS_000001,Republic of Moldova,2015,FMLE,75.05
WHOSIS_000001,Brazil,2015,BTSX,75.13
WHOSIS_000001,Grenada,2015,FMLE,75.15
WHOSIS_000001,Dominican Republic,2015,FMLE,75.2
WHOSIS_000001,Serbia,2015,BTSX,75.21
WHOSIS_000001,Saudi Arabia,2015,FMLE,75.25
WHOSIS_000001,Montenegro,2015,BTSX,75.27
WHOSIS_000001,Kyrgyzstan,2015,FMLE,75.28
WHOSIS_000001,United Arab Emirates,2015,BTSX,75.31
WHOSIS_000001,Turkey,2015,MLE,75.39
WHOSIS_000001,Brunei Darussalam,2015,FMLE,75.5
WHOSIS_000001,Tonga,2015,FMLE,75.54
WHOSIS_000001,Paraguay,2015,BTSX,75.56
WHOSIS_000001,Czechia,2015,MLE,75.57
WHOSIS_000001,Hungary,2015,BTSX,75.57
WHOSIS_000001,Colombia,2015,MLE,75.63
WHOSIS_000001,Algeria,2015,MLE,75.65
WHOSIS_000001,Cuba,2015,MLE,75.7
WHOSIS_000001,Jamaica,2015,BTSX,75.85
WHOSIS_000001,Suriname,2015,FMLE,75.85
WHOSIS_000001,Bahrain,2015,MLE,75.87
WHOSIS_000001,Mexico,2015,BTSX,75.87
WHOSIS_000001,The former Yugoslav Republic of Macedonia,2015,FMLE,75.87
WHOSIS_000001,Qatar,2015,FMLE,75.93
WHOSIS_000001,Lebanon,2015,BTSX,75.98
WHOSIS_000001,Bahamas,2015,FMLE,76.08
WHOSIS_000001,Albania,2015,MLE,76.1
WHOSIS_000001,Antigua and Barbuda,2015,BTSX,76.14
WHOSIS_000001,Argentina,2015,BTSX,76.17
WHOSIS_000001,Panama,2015,MLE,76.17
WHOSIS_000001,Barbados,2015,BTSX,76.22
WHOSIS_000001,Kazakhstan,2015,FMLE,76.22
WHOSIS_000001,Sri Lanka,2015,BTSX,76.27
WHOSIS_000001,United States of America,2015,MLE,76.31
WHOSIS_000001,Bosnia and Herzegovina,2015,BTSX,76.32
WHOSIS_000001,Qatar,2015,BTSX,76.41
WHOSIS_000001,Bahrain,2015,BTSX,76.46
WHOSIS_000001,Algeria,2015,BTSX,76.54
WHOSIS_000001,Russian Federation,2015,FMLE,76.6
WHOSIS_000001,China,2015,BTSX,76.64
WHOSIS_000001,Iran (Islamic Republic of),2015,BTSX,76.66
WHOSIS_000001,Tunisia,2015,BTSX,76.7
WHOSIS_000001,Seychelles,2015,FMLE,76.83
WHOSIS_000001,Libya,2015,FMLE,76.9
WHOSIS_000001,Georgia,2015,FMLE,76.93
WHOSIS_000001,Jordan,2015,MLE,76.95
WHOSIS_000001,Ukraine,2015,FMLE,76.96
WHOSIS_000001,Chile,2015,MLE,76.98
WHOSIS_000001,Slovakia,2015,BTSX,77.01
WHOSIS_000001,Uruguay,2015,BTSX,77.03
WHOSIS_000001,Malaysia,2015,FMLE,77.13
WHOSIS_000001,Qatar,2015,MLE,77.17
WHOSIS_000001,Ecuador,2015,BTSX,77.18
WHOSIS_000001,Bahrain,2015,FMLE,77.27
WHOSIS_000001,Belize,2015,FMLE,77.29
WHOSIS_000001,Poland,2015,BTSX,77.29
WHOSIS_000001,Nicaragua,2015,FMLE,77.32
WHOSIS_000001,Barbados,2015,FMLE,77.36
WHOSIS_000001,Thailand,2015,BTSX,77.41
WHOSIS_000001,Mauritius,2015,FMLE,77.43
WHOSIS_000001,Algeria,2015,FMLE,77.5
WHOSIS_000001,Peru,2015,MLE,77.55
WHOSIS_000001,Maldives,2015,MLE,77.56
WHOSIS_000001,Slovenia,2015,MLE,77.57
WHOSIS_000001,Croatia,2015,BTSX,77.58
WHOSIS_000001,Cabo Verde,2015,FMLE,77.59
WHOSIS_000001,Estonia,2015,BTSX,77.6
WHOSIS_000001,Viet Nam,2015,FMLE,77.61
WHOSIS_000001,Jamaica,2015,FMLE,77.71
WHOSIS_000001,Montenegro,2015,FMLE,77.73
WHOSIS_000001,Antigua and Barbuda,2015,FMLE,77.76
WHOSIS_000001,Serbia,2015,FMLE,77.76
WHOSIS_000001,Turkey,2015,BTSX,77.79
WHOSIS_000001,Jordan,2015,BTSX,77.82
WHOSIS_000001,Armenia,2015,FMLE,77.83
WHOSIS_000001,Albania,2015,BTSX,77.84
WHOSIS_000001,United Arab Emirates,2015,FMLE,77.84
WHOSIS_000001,Greece,2015,MLE,77.85
WHOSIS_000001,Cuba,2015,BTSX,77.91
WHOSIS_000001,Portugal,2015,MLE,77.92
WHOSIS_000001,El Salvador,2015,FMLE,78.02
WHOSIS_000001,Bulgaria,2015,FMLE,78.04
WHOSIS_000001,Germany,2015,MLE,78.12
WHOSIS_000001,Costa Rica,2015,MLE,78.16
WHOSIS_000001,Trinidad and Tobago,2015,FMLE,78.33
WHOSIS_000001,Colombia,2015,BTSX,78.35
WHOSIS_000001,Maldives,2015,BTSX,78.41
WHOSIS_000001,Romania,2015,FMLE,78.42
WHOSIS_000001,Czechia,2015,BTSX,78.46
WHOSIS_000001,Belgium,2015,MLE,78.48
WHOSIS_000001,Iran (Islamic Republic of),2015,FMLE,78.52
WHOSIS_000001,Saint Lucia,2015,FMLE,78.52
WHOSIS_000001,Finland,2015,MLE,78.53
WHOSIS_000001,United States of America,2015,BTSX,78.56
WHOSIS_000001,Austria,2015,MLE,78.6
WHOSIS_000001,Paraguay,2015,FMLE,78.6
WHOSIS_000001,Mexico,2015,FMLE,78.61
WHOSIS_000001,Brazil,2015,FMLE,78.64
WHOSIS_000001,Bosnia and Herzegovina,2015,FMLE,78.65
WHOSIS_000001,Panama,2015,BTSX,78.72
WHOSIS_000001,Hungary,2015,FMLE,78.73
WHOSIS_000001,Jordan,2015,FMLE,78.77
WHOSIS_000001,Belarus,2015,FMLE,78.79
WHOSIS_000001,Denmark,2015,MLE,78.8
WHOSIS_000001,Lebanon,2015,FMLE,78.82
WHOSIS_000001,Tunisia,2015,FMLE,78.83
WHOSIS_000001,United Kingdom of Great Britain and Northern Ireland,2015,MLE,78.93
WHOSIS_000001,Venezuela (Bolivarian Republic of),2015,FMLE,78.97
WHOSIS_000001,France,2015,MLE,78.99
WHOSIS_000001,Republic of Korea,2015,MLE,79.03
WHOSIS_000001,Peru,2015,BTSX,79.08
WHOSIS_000001,Latvia,2015,FMLE,79.29
WHOSIS_000001,Argentina,2015,FMLE,79.3
WHOSIS_000001,Ireland,2015,MLE,79.33
WHOSIS_000001,Sri Lanka,2015,FMLE,79.41
WHOSIS_000001,Kuwait,2015,MLE,79.46
WHOSIS_000001,Lithuania,2015,FMLE,79.47
WHOSIS_000001,Maldives,2015,FMLE,79.47
WHOSIS_000001,Ecuador,2015,FMLE,79.5
WHOSIS_000001,Malta,2015,MLE,79.63
WHOSIS_000001,Spain,2015,MLE,79.66
WHOSIS_000001,Netherlands,2015,MLE,79.67
WHOSIS_000001,Albania,2015,FMLE,79.69
WHOSIS_000001,New Zealand,2015,MLE,79.73
WHOSIS_000001,Chile,2015,BTSX,79.82
WHOSIS_000001,China,2015,FMLE,79.87
WHOSIS_000001,Canada,2015,MLE,79.88
WHOSIS_000001,Cyprus,2015,MLE,79.89
WHOSIS_000001,Israel,2015,MLE,79.96
WHOSIS_000001,Sweden,2015,MLE,79.97
WHOSIS_000001,Italy,2015,MLE,80
WHOSIS_000001,Turkey,2015,FMLE,80.06
WHOSIS_000001,Cuba,2015,FMLE,80.19
WHOSIS_000001,Luxembourg,2015,MLE,80.26
WHOSIS_000001,Norway,2015,MLE,80.26
WHOSIS_000001,Slovakia,2015,FMLE,80.37
WHOSIS_000001,Greece,2015,BTSX,80.38
WHOSIS_000001,Australia,2015,MLE,80.41
WHOSIS_000001,Germany,2015,BTSX,80.42
WHOSIS_000001,Slovenia,2015,BTSX,80.47
WHOSIS_000001,Peru,2015,FMLE,80.56
WHOSIS_000001,Uruguay,2015,FMLE,80.56
WHOSIS_000001,Denmark,2015,BTSX,80.59
WHOSIS_000001,Switzerland,2015,MLE,80.64
WHOSIS_000001,United Kingdom of Great Britain and Northern Ireland,2015,BTSX,80.65
WHOSIS_000001,Iceland,2015,MLE,80.69
WHOSIS_000001,Japan,2015,MLE,80.7
WHOSIS_000001,Thailand,2015,FMLE,80.7
WHOSIS_000001,Belgium,2015,BTSX,80.71
WHOSIS_000001,Singapore,2015,MLE,80.72
WHOSIS_000001,Croatia,2015,FMLE,80.73
WHOSIS_000001,Costa Rica,2015,BTSX,80.78
WHOSIS_000001,United States of America,2015,FMLE,80.8
WHOSIS_000001,Portugal,2015,BTSX,80.89
WHOSIS_000001,Austria,2015,BTSX,80.98
